"source","target"
"x1138462438045683712","x32867753"
"x561992546","x32867753"
"x1249059870013296640","x32867753"
"x820412312028909568","x32867753"
"x1285448287","x32867753"
"x1342833595761762305","x32867753"
"x3198953026","x32867753"
"x1592781314","x32867753"
"x47470410","x32867753"
"x1320418585412575232","x32867753"
"x384879840","x32867753"
"x382643050","x2882771723"
"x2418296789","x32867753"
"x57267022","x32867753"
"x1315022529954828291","x32867753"
"x435820539","x2882771723"
"x1100675287191339008","x2882771723"
"x136633473","x32867753"
"x1043453976732164096","x1427274146"
"x1242841869777883139","x32867753"
"x904349491","x32867753"
"x1253944197167697922","x32867753"
"x120207266","x32867753"
"x3235789245","x32867753"
"x1431349909","x32867753"
"x566585145","x32867753"
"x498871070","x2882771723"
"x259663781","x32867753"
"x1181597115237257216","x32867753"
"x3293250334","x32867753"
"x1248989123781758979","x32867753"
"x119425743","x32867753"
"x1266463136372137984","x32867753"
"x91569130","x32867753"
"x1255346187823132673","x32867753"
"x1876619996","x32867753"
"x2734774251","x32867753"
"x1306366588401131521","x32867753"
"x1236295785505054721","x32867753"
"x572668791","x32867753"
"x3804026112","x32867753"
"x1335275749805355008","x32867753"
"x1265759305833295873","x32867753"
"x2347362013","x32867753"
"x767675142","x32867753"
"x1252556511274024961","x32867753"
"x218647593","x32867753"
"x1246923556165910534","x32867753"
"x746589413099048960","x32867753"
"x1157073098","x32867753"
"x742469725452652544","x32867753"
"x1314074492998737920","x32867753"
"x1526964595","x32867753"
"x757063603","x32867753"
"x304545927","x32867753"
"x1253589455547633664","x32867753"
"x359527395","x32867753"
"x826846693639540741","x32867753"
"x1169877802155302917","x32867753"
"x767906670","x32867753"
"x1519446270","x32867753"
"x544184382","x32867753"
"x3337295067","x32867753"
"x740887725197365248","x32867753"
"x832033056","x32867753"
"x1402498296","x32867753"
"x1308228264591269888","x32867753"
"x363154252","x32867753"
"x1894351262","x32867753"
"x1237712981410144258","x32867753"
"x1347110121537724416","x32867753"
"x738055688153358336","x32867753"
"x3118851649","x32867753"
"x3910430913","x32867753"
"x881602686109581312","x32867753"
"x3405433690","x32867753"
"x1067016732756385792","x32867753"
"x2313281475","x32867753"
"x1031726086999207937","x32867753"
"x4218752428","x32867753"
"x254761193","x32867753"
"x1338283499699187713","x32867753"
"x1309468933427286019","x2882771723"
"x854390550715392002","x32867753"
"x1338546220046888965","x32867753"
"x1325857979732811784","x32867753"
"x919606778953945088","x32867753"
"x1306266442875260933","x32867753"
"x2983945431","x32867753"
"x148857813","x32867753"
"x119848243","x32867753"
"x1133202021505523713","x2882771723"
"x147283300","x147283300"
"x148857813","x147283300"
"x52326023","x2882771723"
"x1260655747635056640","x32867753"
"x1246967634282897409","x32867753"
"x3379108229","x32867753"
"x1317837329168519169","x32867753"
"x142790636","x32867753"
"x399607308","x32867753"
"x303035237","x32867753"
"x1313782758490230786","x32867753"
"x723464995317682176","x32867753"
"x280956462","x32867753"
"x1855085718","x2882771723"
"x1241656264251375616","x32867753"
"x1277980002760318979","x32867753"
"x1284411496022388738","x32867753"
"x50574764","x616274734"
"x390285031","x32867753"
"x1200427543561723904","x32867753"
"x4218076654","x2882771723"
"x3053786963","x32867753"
"x1311836601010577408","x32867753"
"x752953046","x32867753"
"x1090129452","x32867753"
"x1389044180","x32867753"
"x4856048885","x32867753"
"x1259481319043719170","x32867753"
"x703296969687572484","x32867753"
"x2792615047","x32867753"
"x2495149990","x32867753"
"x1231878058484871168","x32867753"
"x494854189","x32867753"
"x4209673155","x32867753"
"x1081864627565285377","x32867753"
"x1225611974190305283","x32867753"
"x1296327230801489920","x32867753"
"x873149705554972676","x32867753"
"x1239667542144229376","x32867753"
"x396583574","x2882771723"
"x1213849329858793475","x2882771723"
"x1311734223317991430","x32867753"
"x484033230","x32867753"
"x1219925121646891008","x32867753"
"x1321929682992943104","x32867753"
"x723472986884419584","x32867753"
"x2971706583","x32867753"
"x38415041","x32867753"
"x971134486690791424","x32867753"
"x1243858823854637061","x32867753"
"x3715108276","x32867753"
"x952849515542872065","x32867753"
"x1246891648887504898","x32867753"
"x1326828863771582464","x32867753"
"x1337666691703185408","x32867753"
"x1248216947671646213","x32867753"
"x1028405895057817600","x32867753"
"x1079377229908508673","x2882771723"
"x1122420720791904256","x32867753"
"x332824252","x422488764"
"x2576454150","x2882771723"
"x2873442574","x32867753"
"x1353615955256086528","x32867753"
"x165337630","x32867753"
"x497020117","x32867753"
"x77381920","x32867753"
"x2227355929","x32867753"
"x1223307253236817922","x905886630598373381"
"x1258578460546564103","x2316096655"
"x966601637728018434","x2316096655"
"x929458297282887680","x2316096655"
"x867700951330762757","x2316096655"
"x98152734","x2316096655"
"x1165818125771821056","x2316096655"
"x802925906377510913","x2316096655"
"x838780501825568770","x2316096655"
"x939953080950513664","x32867753"
"x870323648116256768","x32867753"
"x573934540","x32867753"
"x551663426","x1156204045704597504"
"x2463318263","x1156204045704597504"
"x1244031746464776194","x1156204045704597504"
"x1425908448","x1156204045704597504"
"x1287760422104231937","x1156204045704597504"
"x1112835222436044806","x1156204045704597504"
"x562124716","x32867753"
"x1162440517021503490","x1156204045704597504"
"x1337083147863920641","x1156204045704597504"
"x2385855176","x1156204045704597504"
"x2961983950","x1156204045704597504"
"x186848449","x1156204045704597504"
"x1105985475226058754","x1156204045704597504"
"x601343719","x1156204045704597504"
"x260939308","x1156204045704597504"
"x47239079","x1156204045704597504"
"x3170231572","x1156204045704597504"
"x128935910","x1156204045704597504"
"x967909432549101568","x1156204045704597504"
"x59186650","x1156204045704597504"
"x1343256064314257409","x1156204045704597504"
"x1289576581774614528","x1156204045704597504"
"x1251672925540945921","x1156204045704597504"
"x723472986884419584","x1156204045704597504"
"x1313919611256090626","x1156204045704597504"
"x954777865475776512","x1156204045704597504"
"x445143646","x1156204045704597504"
"x2513223854","x2316096655"
"x1321888654789353475","x1156204045704597504"
"x4371718954","x32867753"
"x1247021349014581249","x1156204045704597504"
"x1966588514","x32867753"
"x1017337115590393856","x1017337115590393856"
"x2864632029","x573641510"
"x1342423827620515846","x2316096655"
"x1316498826618953728","x1156204045704597504"
"x4206050697","x1156204045704597504"
"x1366598058","x747396545243455489"
"x1229463992302817281","x1156204045704597504"
"x881228024","x1156204045704597504"
"x1528771844","x32867753"
"x1252639041398464514","x1156204045704597504"
"x499691658","x1156204045704597504"
"x1138462438045683712","x1156204045704597504"
"x362587129","x2316096655"
"x1519642248","x32867753"
"x390779693","x1156204045704597504"
"x1353871041609785345","x1156204045704597504"
"x139588878","x1156204045704597504"
"x1326621697550770176","x1156204045704597504"
"x842053103780278272","x1156204045704597504"
"x1009159818073034753","x1156204045704597504"
"x1246063130557456385","x1156204045704597504"
"x3150313712","x1156204045704597504"
"x299869039","x1156204045704597504"
"x1246124328363704323","x1156204045704597504"
"x1347985957249757189","x1156204045704597504"
"x1290988470039699456","x1156204045704597504"
"x1163859176","x1156204045704597504"
"x604750530","x2316096655"
"x383743743","x1156204045704597504"
"x1100521572547395584","x1156204045704597504"
"x117326532","x1156204045704597504"
"x1295825008749674497","x78957336"
"x517921771","x1156204045704597504"
"x232324401","x1156204045704597504"
"x3194838969","x2882771723"
"x885526268879523842","x32867753"
"x1324135294094970881","x1156204045704597504"
"x1350090949620355073","x1156204045704597504"
"x3715108276","x1156204045704597504"
"x4335677653","x32867753"
"x1331582680098615298","x893758854294589440"
"x1436615316","x1156204045704597504"
"x833326335850328064","x1156204045704597504"
"x1287553306714234883","x1156204045704597504"
"x1266928066795888640","x1156204045704597504"
"x1372946714","x1156204045704597504"
"x701384508763930624","x1156204045704597504"
"x1286559285242101761","x1156204045704597504"
"x3138902536","x1156204045704597504"
"x109620153","x1156204045704597504"
"x1332091995947474944","x1156204045704597504"
"x1244383447","x1156204045704597504"
"x1379260376","x1156204045704597504"
"x1333886618223210497","x1156204045704597504"
"x1920961962","x1156204045704597504"
"x1331755095491538945","x1156204045704597504"
"x148344461","x1156204045704597504"
"x1245673617431711746","x1156204045704597504"
"x1193410933198073856","x1156204045704597504"
"x1350503104920301568","x1156204045704597504"
"x175689829","x1156204045704597504"
"x2391749424","x1156204045704597504"
"x1353868549639561219","x1156204045704597504"
"x1325873422249971712","x1156204045704597504"
"x1177929535175745536","x1156204045704597504"
"x490215456","x88509599"
"x856873278","x1156204045704597504"
"x1326279646623789058","x1156204045704597504"
"x1303331183254740993","x1156204045704597504"
"x1252237844418084866","x1156204045704597504"
"x825320340091965440","x2177826328"
"x1083724342150815745","x1156204045704597504"
"x294130083","x2316096655"
"x1352527149966782465","x1156204045704597504"
"x956264976909504512","x2316096655"
"x3053669370","x1271485051969175554"
"x1083940668551151616","x1286653814469201924"
"x834107231113211904","x1286653814469201924"
"x2766020581","x1286653814469201924"
"x1261283362163118084","x1156204045704597504"
"x1030940026157387783","x1286653814469201924"
"x148344461","x1286653814469201924"
"x119413988","x1286653814469201924"
"x1121677672214478849","x1286653814469201924"
"x901912627332489216","x340517586"
"x923641452344807424","x340517586"
"x2365081031","x340517586"
"x777621084589948928","x340517586"
"x1223950760","x1882871270"
"x3053786963","x1286653814469201924"
"x1071500661894860800","x1286653814469201924"
"x113951768","x1286653814469201924"
"x796829341434908673","x340517586"
"x1313757663906402314","x1286653814469201924"
"x1073650769977638912","x1286653814469201924"
"x3450188357","x1286653814469201924"
"x877519896208343040","x330959184"
"x341232103","x117459814"
"x567064121","x117459814"
"x1043205422197473280","x117459814"
"x3017112653","x1340959123723198465"
"x880767254031470594","x117459814"
"x2397909876","x1286653814469201924"
"x834603533911605252","x1286653814469201924"
"x2918410839","x117459814"
"x1436779152","x117459814"
"x1198615799323353089","x117459814"
"x601548216","x3318313207"
"x1254276575341805571","x1286653814469201924"
"x1273248136677543936","x1286653814469201924"
"x303757000","x117459814"
"x1058174548837888000","x1286653814469201924"
"x419739788","x117459814"
"x3302594272","x117459814"
"x1284411496022388738","x1286653814469201924"
"x529346484","x117459814"
"x1193749234459332609","x1318434408"
"x825047245","x117459814"
"x1145995544","x117459814"
"x928195115725787136","x117459814"
"x493095139","x117459814"
"x1250155023901831169","x1286653814469201924"
"x414191033","x117459814"
"x493234169","x117459814"
"x1236207484362252289","x3243329980"
"x1412990544","x117459814"
"x882992107471941632","x117459814"
"x498213928","x117459814"
"x1534675987","x117459814"
"x60383276","x340517586"
"x1022707257937743872","x117459814"
"x90199309","x117459814"
"x263789476","x117459814"
"x831411963011948545","x117459814"
"x1008725521511960583","x117459814"
"x381090753","x117459814"
"x50574764","x340517586"
"x2284100612","x1088731747599163392"
"x2194264242","x117459814"
"x4397017774","x117459814"
"x1030585476","x117459814"
"x2885226458","x117459814"
"x4008409251","x117459814"
"x33682347","x117459814"
"x162862124","x117459814"
"x2589225164","x117459814"
"x1563662504","x117459814"
"x1291305212376944641","x1286653814469201924"
"x4534766416","x1286653814469201924"
"x1346969340","x117459814"
"x896371177941327873","x117459814"
"x77793450","x117459814"
"x1243629286935887872","x1286653814469201924"
"x1917715891","x1088731747599163392"
"x2807189166","x1088731747599163392"
"x475237028","x117459814"
"x1241305723952402438","x1088731747599163392"
"x61323307","x117459814"
"x3694054096","x1088731747599163392"
"x67310519","x133663801"
"x91059332","x133663801"
"x115060268","x133663801"
"x707043188","x133663801"
"x326089779","x133663801"
"x14525893","x133663801"
"x1639938415","x133663801"
"x759113341390426113","x133663801"
"x107690441","x133663801"
"x757871055545442304","x133663801"
"x491311539","x117459814"
"x2497048639","x133663801"
"x47239079","x1286653814469201924"
"x547048994","x117459814"
"x394105609","x117459814"
"x967909432549101568","x1286653814469201924"
"x858832309","x133663801"
"x1441577149","x1286653814469201924"
"x1337083147863920641","x1286653814469201924"
"x1105714115065139203","x1286653814469201924"
"x220800536","x1286653814469201924"
"x259342151","x133663801"
"x1260119228142755840","x1286653814469201924"
"x993539965769445376","x133663801"
"x603244634","x1286653814469201924"
"x1348601342483439622","x117459814"
"x1109468877799518213","x133663801"
"x1109468877799518213","x1522950044"
"x1109468877799518213","x133663801"
"x1109468877799518213","x2253293976"
"x1109468877799518213","x133663801"
"x1109468877799518213","x133663801"
"x1109468877799518213","x133663801"
"x1109468877799518213","x133663801"
"x1109468877799518213","x133663801"
"x1109468877799518213","x133663801"
"x1109468877799518213","x1350102870"
"x1109468877799518213","x133663801"
"x1109468877799518213","x133663801"
"x1109468877799518213","x133663801"
"x390442910","x133663801"
"x859676617","x1286653814469201924"
"x1240561289480544256","x117459814"
"x370889635","x1286653814469201924"
"x931465760","x117459814"
"x1348353183446425601","x1156204045704597504"
"x525719842","x1286653814469201924"
"x981468368581558272","x117459814"
"x28547198","x1286653814469201924"
"x101332195","x1286653814469201924"
"x18403800","x117459814"
"x4206050697","x1286653814469201924"
"x1109442674090827777","x1156204045704597504"
"x89475226","x117459814"
"x1109468877799518213","x857631281911394304"
"x2175788259","x340517586"
"x2854487645","x117459814"
"x2864632029","x117459814"
"x1247807315132026882","x1286653814469201924"
"x849589985804267520","x117459814"
"x111842654","x801154252899028992"
"x1207311199106408453","x1350102870"
"x1262532127771496449","x1286653814469201924"
"x1260045769484251136","x1286653814469201924"
"x899301065039806464","x1286653814469201924"
"x428409365","x1286653814469201924"
"x541557919","x117459814"
"x701029423","x1286653814469201924"
"x1337363852858679297","x919153760433246208"
"x1245466654189944833","x1286653814469201924"
"x2163869779","x1286653814469201924"
"x32616065","x1286653814469201924"
"x838481159076122624","x1286653814469201924"
"x1176761398665388032","x930875353"
"x1287553306714234883","x1286653814469201924"
"x1305568824","x1286653814469201924"
"x1242866450517409797","x1286653814469201924"
"x736414651664224256","x1286653814469201924"
"x211607083","x1286653814469201924"
"x2504805810","x1286653814469201924"
"x1042270058","x1286653814469201924"
"x1250735594222882817","x1286653814469201924"
"x1173588610047717376","x1286653814469201924"
"x767675142","x1286653814469201924"
"x166506012","x1286653814469201924"
"x890000050910310400","x1156204045704597504"
"x460181979","x1286653814469201924"
"x594739923","x1286653814469201924"
"x2744307844","x1286653814469201924"
"x1410527701","x1286653814469201924"
"x1326279646623789058","x1286653814469201924"
"x2756266869","x1286653814469201924"
"x1439946865","x1286653814469201924"
"x1041185933801021440","x1286653814469201924"
"x462178791","x173722982"
"x2293356544","x1286653814469201924"
"x1327202183432069120","x1286653814469201924"
"x777523874086920192","x1286653814469201924"
"x2464135300","x61519344"
"x1339393539575300096","x61519344"
"x854153089","x61519344"
"x1391974237","x61519344"
"x3293250334","x61519344"
"x1324972763585654784","x1286653814469201924"
"x1318592030789042178","x1286653814469201924"
"x2357034608","x1286653814469201924"
"x1013089309","x1286653814469201924"
"x3288145493","x1286653814469201924"
"x90909443","x1286653814469201924"
"x1247109450013564928","x1286653814469201924"
"x2897039831","x1286653814469201924"
"x259030277","x1286653814469201924"
"x1175863408765390849","x1286653814469201924"
"x2495001084","x1286653814469201924"
"x2227355929","x1286653814469201924"
"x964854385762295808","x173722982"
"x1330385539","x2334919388"
"x1260306632560566274","x1286653814469201924"
"x1212833888407437312","x1286653814469201924"
"x1300321032","x1286653814469201924"
"x419682561","x1286653814469201924"
"x1349189605019574272","x1286653814469201924"
"x1300433476605415424","x1286653814469201924"
"x2543322702","x1286653814469201924"
"x1305456477650509830","x1286653814469201924"
"x1243849940624867328","x1286653814469201924"
"x3293250334","x1286653814469201924"
"x1253944197167697922","x1286653814469201924"
"x47399805","x76662593"
"x398988900","x76662593"
"x998871246556352512","x76662593"
"x1051396452814127104","x76662593"
"x1346969340","x76662593"
"x3762971116","x76662593"
"x2994914364","x76662593"
"x1313782758490230786","x76662593"
"x1089614483230724096","x76662593"
"x55193839","x76662593"
"x763731654049497088","x76662593"
"x192465228","x76662593"
"x239032937","x76662593"
"x855105883537387520","x76662593"
"x1114218158037110784","x971820228"
"x4642544002","x76662593"
"x753206774329700352","x971820228"
"x3303463029","x971820228"
"x2560462336","x971820228"
"x1464934128","x971820228"
"x1197963859954405377","x971820228"
"x19976004","x76662593"
"x557594535","x76662593"
"x839170846988042240","x76662593"
"x1242796378411204610","x76662593"
"x1105962402","x76662593"
"x3197496565","x1731311"
"x381090753","x76662593"
"x64190022","x64190022"
"x1294588968504352768","x76662593"
"x98647223","x76662593"
"x1126054763869736960","x76662593"
"x774972099832274944","x971820228"
"x2806136484","x826016033362305024"
"x1086410521077837826","x76662593"
"x498871070","x76662593"
"x821612265002717184","x971820228"
"x1196548594532278275","x893758854294589440"
"x36016075","x32867753"
"x1275474311650959363","x1321400526777552897"
"x2367660020","x971820228"
"x2651033988","x76662593"
"x942053748406456320","x826016033362305024"
"x1238762850467885056","x76662593"
"x625798820","x826016033362305024"
"x1237488576318840834","x838489308143190017"
"x119866844","x32867753"
"x1123982614996692999","x76662593"
"x972925879398608900","x1286653814469201924"
"x902643282190139393","x217750713"
"x1264409706220716033","x217750713"
"x2565750492","x1286653814469201924"
"x1315060569314070528","x217750713"
"x800768364","x147283300"
"x1314715851908620289","x147283300"
"x1314836224570466304","x147283300"
"x1223970857133002752","x147283300"
"x1300433476605415424","x147283300"
"x1207311199106408453","x147283300"
"x1242739129407987712","x147283300"
"x2919453322","x838489308143190017"
"x1329419567408574465","x838489308143190017"
"x1321089795540635650","x147283300"
"x1345651587222540288","x147283300"
"x101007407","x1076554829273673728"
"x1083303341239734272","x1156204045704597504"
"x1123957674142511106","x1286653814469201924"
"x244170872","x1274020014706827264"
"x332824252","x422488764"
"x959876242899193856","x11120142"
"x230806147","x838489308143190017"
"x17229611","x934303386"
"x131317072","x934303386"
"x57144171","x838489308143190017"
"x2440673393","x934303386"
"x47624318","x934303386"
"x1201888549613834248","x934303386"
"x1250859230892089345","x934303386"
"x552826497","x934303386"
"x1252003261311324161","x838489308143190017"
"x1420742006","x934303386"
"x1352837549484597248","x934303386"
"x46933127","x934303386"
"x2299379827","x934303386"
"x1124042489604734976","x1088731747599163392"
"x1076819223572348929","x934303386"
"x783093361553047552","x1240624692257607680"
"x990802033","x1240624692257607680"
"x1975434650","x1088731747599163392"
"x2212710362","x934303386"
"x1323406688","x1088731747599163392"
"x1063340161742921728","x934303386"
"x1327943797238587394","x838489308143190017"
"x1343238411679911936","x934303386"
"x971673331","x838489308143190017"
"x1310432461424414720","x1156204045704597504"
"x1339293480665886720","x1267207127388520448"
"x1288138300826492932","x934303386"
"x1238143153531695104","x1267207127388520448"
"x1275443336812335104","x1274020014706827264"
"x1080068301353615360","x803645685379629056"
"x1331491147","x803645685379629056"
"x1242739129407987712","x32867753"
"x1242739129407987712","x32867753"
"x122645937","x1267207127388520448"
"x211337435","x1323747268013527041"
"x904349491","x1323747268013527041"
"x1402765742","x1323747268013527041"
"x1148268890","x1323747268013527041"
"x2955434219","x1323747268013527041"
"x1100521572547395584","x1323747268013527041"
"x1337666691703185408","x1323747268013527041"
"x1351894461412990977","x1323747268013527041"
"x1243717231583703040","x1323747268013527041"
"x1315060569314070528","x1323747268013527041"
"x492961706","x1323747268013527041"
"x198819722","x1323747268013527041"
"x1333331402360807426","x1323747268013527041"
"x2428551044","x1323747268013527041"
"x628230313","x1240624692257607680"
"x497020117","x1323747268013527041"
"x1342606930259439616","x50748968"
"x2317894100","x1323747268013527041"
"x2481014455","x1303360983419756551"
"x1346004058096754690","x1066625690462756864"
"x1138938991338807296","x1323747268013527041"
"x1333120171226128385","x1006442550"
"x30230184","x1303360983419756551"
"x776383170572877824","x934303386"
"x3179390728","x803645685379629056"
"x1262532127771496449","x1323747268013527041"
"x1317830237749710849","x1323747268013527041"
"x566585145","x1323747268013527041"
"x418103027","x1323747268013527041"
"x1182645159978254342","x1323747268013527041"
"x3047509097","x84204116"
"x1310289609583136770","x783382996841824256"
"x2946162522","x1323747268013527041"
"x2504912381","x2504912381"
"x1098522867128565760","x454993110"
"x838127461","x454993110"
"x968700594","x829500602"
"x762290549168701440","x829500602"
"x1978837920","x829500602"
"x968700594","x1917715891"
"x1260521902038278144","x1917715891"
"x590854559","x1917715891"
"x1271919604579917824","x1917715891"
"x762290549168701440","x1917715891"
"x594522343","x1917715891"
"x1237660413069852673","x1917715891"
"x1315196518329188353","x829500602"
"x781473265021771776","x1917715891"
"x1252319655735287808","x1917715891"
"x762194236381028352","x1917715891"
"x864931290642034689","x1317109303539617793"
"x1105117408556183552","x1917715891"
"x1069341642224795651","x1917715891"
"x1889448534","x454993110"
"x1077495238300717057","x1225498576677220352"
"x1244313878529441793","x1225498576677220352"
"x112213591","x1225498576677220352"
"x2163849279","x1917715891"
"x3989854966","x1225498576677220352"
"x1225498576677220352","x1225498576677220352"
"x891592716043390976","x1225498576677220352"
"x475739475","x1225498576677220352"
"x1000393593390059520","x1225498576677220352"
"x1246891648887504898","x1225498576677220352"
"x1201578170073452546","x1225498576677220352"
"x3694054096","x1917715891"
"x1126054763869736960","x1225498576677220352"
"x1321145770037420032","x1225498576677220352"
"x1077299268636102657","x1225498576677220352"
"x1260999654541533189","x1917715891"
"x163520622","x1225498576677220352"
"x1271919604579917824","x1225498576677220352"
"x1012037974484275201","x1225498576677220352"
"x1834382845","x1225498576677220352"
"x722181940800045056","x1225498576677220352"
"x1088153253639016448","x1225498576677220352"
"x961248295371845633","x1225498576677220352"
"x749680562240184321","x1225498576677220352"
"x3072000343","x1225498576677220352"
"x3194797786","x1225498576677220352"
"x3002330820","x1225498576677220352"
"x1304276691636940800","x1225498576677220352"
"x91363255","x1225498576677220352"
"x1193993256067117056","x1917715891"
"x1275443336812335104","x1225498576677220352"
"x1104676879561302016","x1917715891"
"x148857813","x1225498576677220352"
"x3179390728","x1225498576677220352"
"x1325176532978032641","x1225498576677220352"
"x1288829851080839169","x1225498576677220352"
"x1291101185647280129","x1917715891"
"x1343242623901958144","x1225498576677220352"
"x1126129949470003202","x1225498576677220352"
"x502034487","x1225498576677220352"
"x2712566853","x1917715891"
"x197425079","x841979802357764097"
"x262554664","x841979802357764097"
"x2242481386","x841979802357764097"
"x1197833350204911616","x841979802357764097"
"x1250064828124794882","x841979802357764097"
"x1315581765591928832","x841979802357764097"
"x103532016","x841979802357764097"
"x1077299268636102657","x841979802357764097"
"x3179910420","x841979802357764097"
"x738629358","x841979802357764097"
"x3262317526","x841979802357764097"
"x1243912963708391429","x841979802357764097"
"x831452131563536384","x841979802357764097"
"x1359685932","x1352934812848435200"
"x1249598490478592000","x841979802357764097"
"x914765962846654464","x914765962846654464"
"x1313216067997663237","x841979802357764097"
"x952247125185720320","x616274734"
"x834805777000964102","x841979802357764097"
"x1323389871185141761","x841979802357764097"
"x2199262570","x841979802357764097"
"x1094535902267953152","x841979802357764097"
"x594522343","x2464135300"
"x2830308056","x2464135300"
"x1028482555","x841979802357764097"
"x890494213829296128","x841979802357764097"
"x1228210045","x841979802357764097"
"x180953075","x841979802357764097"
"x572670587","x841979802357764097"
"x466916122","x841979802357764097"
"x778625227349688320","x841979802357764097"
"x1410527701","x841979802357764097"
"x1134854776238280704","x841979802357764097"
"x899419734738862080","x841979802357764097"
"x1080068301353615360","x841979802357764097"
"x12700192","x945878124"
"x127659284","x945878124"
"x1399522951","x945878124"
"x244170872","x945878124"
"x301498909","x841979802357764097"
"x461130775","x841979802357764097"
"x2976130660","x945878124"
"x410372668","x841979802357764097"
"x3393986513","x841979802357764097"
"x166506012","x841979802357764097"
"x3053786963","x841979802357764097"
"x1364480052","x945878124"
"x306382909","x1352934812848435200"
"x843963938102562818","x841979802357764097"
"x475310967","x945878124"
"x1069886912050184192","x841979802357764097"
"x2179729342","x945878124"
"x560405654","x1161114194755952640"
"x148857813","x841979802357764097"
"x4896535348","x945878124"
"x3288670390","x945878124"
"x1235231702890532870","x945878124"
"x2802008265","x841979802357764097"
"x748973442","x945878124"
"x1248852814182469633","x945878124"
"x1089559426447695873","x841979802357764097"
"x1342423827620515846","x841979802357764097"
"x791729760313434114","x945878124"
"x120691192","x945878124"
"x556902767","x945878124"
"x120832585","x945878124"
"x1058787548015804417","x841979802357764097"
"x15853759","x841979802357764097"
"x129227323","x841979802357764097"
"x486715262","x945878124"
"x2994742943","x841979802357764097"
"x577107357","x841979802357764097"
"x1464566551","x841979802357764097"
"x1241669749","x841979802357764097"
