"source","target"
"x2223677955","x1118605648260939777"
"x1178286797308256256","x472412809"
"x1109845425283088384","x861574608"
"x1277668258582278144","x1118605648260939777"
"x3403810721","x31159552"
"x1069971069799407616","x978970980994469888"
"x556068872","x90130315"
"x1277668258582278144","x472412809"
"x1308336085605519362","x978970980994469888"
"x857351391601414144","x127659284"
"x552161611","x1640054216"
"x853592403868909569","x861574608"
"x865863515625725952","x105488203"
"x572670587","x1118605648260939777"
"x1338283499699187713","x472412809"
"x1138462438045683712","x1640054216"
"x843269084","x1640054216"
"x465981931","x1118605648260939777"
"x182328472","x338985020"
"x2999639409","x1118605648260939777"
"x4188611896","x472412809"
"x2792150815","x200659061"
"x1242909224428081152","x472412809"
"x1683530196","x75509930"
"x1129853060090662913","x555348031"
"x2976862487","x1118605648260939777"
"x1277555317409288192","x556068872"
"x955002997062455296","x1640054216"
"x842053103780278272","x472412809"
"x1318511181561298944","x4018608772"
"x1082627412532387840","x1118605648260939777"
"x390009648","x4018608772"
"x560342606","x472412809"
"x237864931","x1118605648260939777"
"x68522976","x90130315"
"x1245443333545177088","x472412809"
"x3129267729","x200659061"
"x1307164712","x1118605648260939777"
"x1342423827620515846","x472412809"
"x1076334691","x1118605648260939777"
"x1043453976732164096","x472412809"
"x348987214","x90130315"
"x869952768710242304","x487928002"
"x1322088049594032129","x472412809"
"x906524593715912704","x1640054216"
"x358936514","x1118605648260939777"
"x520251571","x1118605648260939777"
"x856814072125427713","x472412809"
"x880176450120425472","x472412809"
"x559837528","x1118605648260939777"
"x1129928954612211714","x1118605648260939777"
"x816342318668279810","x472412809"
"x76328681","x31159552"
"x901535478","x1118605648260939777"
"x1440828793","x472412809"
"x532362599","x472412809"
"x29409478","x90130315"
"x2465764982","x1118605648260939777"
"x1247820332590825473","x472412809"
"x397162999","x1118605648260939777"
"x18337301","x556068872"
"x708589092985053184","x75509930"
"x813024104055996418","x75509930"
"x528726466","x1118605648260939777"
"x131112930","x472412809"
"x1341133162747981825","x472412809"
"x1917715891","x555348031"
"x1291063044097933317","x472412809"
"x1218096341752131584","x1640054216"
"x1032849138","x555348031"
"x1016358975976169472","x1118605648260939777"
"x823228322222063621","x1118605648260939777"
"x326709007","x1118605648260939777"
"x870237689173471232","x1118605648260939777"
"x4234604302","x338985020"
"x1307164712","x1307164712"
"x97879193","x734327088"
"x991402002713280513","x861574608"
"x416541216","x1118605648260939777"
"x133298514","x472412809"
"x781583723447791616","x200659061"
"x528558611","x75509930"
"x1338183563636826113","x472412809"
"x1034485597","x555348031"
"x1317958963212812289","x472412809"
"x739579368008208384","x1118605648260939777"
"x1344622013487443968","x1118605648260939777"
"x370663768","x861574608"
"x3292625303","x1118605648260939777"
"x21472623","x1118605648260939777"
"x469756901","x1384125012"
"x1347701378","x1118605648260939777"
"x590854559","x1118605648260939777"
"x225423130","x861574608"
"x857008494","x861574608"
"x846755181232558082","x1118605648260939777"
"x1201477903428595718","x1118605648260939777"
"x225423130","x487928002"
"x857008494","x487928002"
"x4838738489","x1118605648260939777"
"x712039917493342209","x17931988"
"x225423130","x486495400"
"x857008494","x486495400"
"x2793364282","x631138646"
"x103262268","x75509930"
"x1111288611205459969","x1118605648260939777"
"x370663768","x83864876"
"x124995595","x1118605648260939777"
"x1114881302967345158","x472412809"
"x768306276","x1118605648260939777"
"x1126054763869736960","x1118605648260939777"
"x847918942131769344","x1118605648260939777"
"x769464197763600384","x472412809"
"x3373802927","x1118605648260939777"
"x1157073098","x472412809"
"x253572139","x1118605648260939777"
"x1245598182660169728","x1118605648260939777"
"x1253853070909472768","x472412809"
"x1277945274","x472412809"
"x850353246191452160","x1118605648260939777"
"x2782352251","x1118605648260939777"
"x1176845523556425728","x1118605648260939777"
"x778860276829523968","x1118605648260939777"
"x814514362312429568","x1118605648260939777"
"x274667466","x978970980994469888"
"x38721204","x200659061"
"x494136761","x1118605648260939777"
"x947439655","x1118605648260939777"
"x493400724","x1118605648260939777"
"x142079193","x472412809"
"x1069934003170484225","x1118605648260939777"
"x43753390","x200659061"
"x121299590","x200659061"
"x1173560415470739457","x1118605648260939777"
"x197106169","x1118605648260939777"
"x2966820628","x1118605648260939777"
"x1145995544","x37632296"
"x1344622013487443968","x37632296"
"x171497854","x1118605648260939777"
"x1312404667100467202","x1118605648260939777"
"x1344622013487443968","x332171334"
"x1295131211548037121","x472412809"
"x1153285236404432898","x472412809"
"x835913444150870017","x37632296"
"x128908289","x385390576"
"x323734849","x385390576"
"x130175596","x385390576"
"x1083314813479120896","x472412809"
"x49968109","x160182579"
"x1334120208932417539","x992653747"
"x798248196459864064","x1118605648260939777"
"x920584302840213504","x472412809"
"x492921549","x75509930"
"x3720042855","x992653747"
"x3927024082","x992653747"
"x1253642787737800704","x1118605648260939777"
"x1000393593390059520","x1118605648260939777"
"x2800410501","x338985020"
"x491560388","x338985020"
"x300744871","x338985020"
"x1242656949570863107","x472412809"
"x364256253","x338985020"
"x1341484498958073866","x338985020"
"x69089706","x338985020"
"x2927204037","x338985020"
"x477633199","x338985020"
"x943935769550508036","x338985020"
"x914226378","x338985020"
"x258721662","x338985020"
"x488564551","x3720042855"
"x557290752","x338985020"
"x819525863096074240","x1118605648260939777"
"x866658628178243585","x338985020"
"x937258643640209409","x338985020"
"x222045450","x338985020"
"x1352699133379883008","x18399014"
"x91813421","x338985020"
"x1230962301219590145","x338985020"
"x95035665","x338985020"
"x821613224432959488","x338985020"
"x705397663","x338985020"
"x1071057516950405121","x338985020"
"x432286700","x338985020"
"x1071167627953885184","x338985020"
"x3346894551","x338985020"
"x559005043","x1118605648260939777"
"x1296795582","x338985020"
"x3439415092","x18399014"
"x37419417","x992653747"
"x757871055545442304","x338985020"
"x30627476","x338985020"
"x706837415","x338985020"
"x2271565077","x338985020"
"x895345130869329921","x472412809"
"x127503403","x1118605648260939777"
"x310115625","x338985020"
"x76326683","x338985020"
"x20562822","x338985020"
"x1351189156135899139","x338985020"
"x299018689","x64385029"
"x1287436299444424704","x338985020"
"x1211749620461629440","x35287180"
"x1243036716639739906","x472412809"
"x69088068","x338985020"
"x2863702235","x35287180"
"x1125557653000916994","x338985020"
"x1202187916916744193","x338985020"
"x987122828687347712","x338985020"
"x51517056","x338985020"
"x769514678","x338985020"
"x1498342616","x338985020"
"x3461405847","x338985020"
"x4245160156","x1118605648260939777"
"x1271729266670043136","x338985020"
"x731934578995253250","x338985020"
"x1252432116882853888","x338985020"
"x176490799","x338985020"
"x2984232815","x338985020"
"x4237251621","x385390576"
"x1386607105","x338985020"
"x840482491471405057","x338985020"
"x44933229","x338985020"
"x245863590","x338985020"
"x782310206","x338985020"
"x1300775882","x338985020"
"x1012692323669405696","x37632296"
"x1296226589290659840","x338985020"
"x3044655040","x338985020"
"x69874601","x338985020"
"x569503278","x338985020"
"x4105504577","x472412809"
"x1029820463432777728","x338985020"
"x1089623443656577030","x1293120158484107269"
"x1290379045595688965","x338985020"
"x80815396","x338985020"
"x2742760895","x1118605648260939777"
"x2742760895","x338985020"
"x252255936","x978970980994469888"
"x245863590","x338985020"
"x1122205700720136193","x1118605648260939777"
"x1098417702","x1118605648260939777"
"x390897965","x338985020"
"x757871055545442304","x338985020"
"x37419417","x338985020"
"x783844396332613632","x338985020"
"x968123941796679680","x338985020"
"x414025897","x338985020"
"x1211749620461629440","x338985020"
"x1299804224113573891","x338985020"
"x596322931","x338985020"
"x933475394937901056","x338985020"
"x44933229","x719175862382436354"
"x477633199","x338985020"
"x1299804224113573891","x338985020"
"x236211664","x338985020"
"x969117320781103105","x338985020"
"x2956354966","x338985020"
"x247635619","x338985020"
"x1082656619610230787","x719175862382436354"
"x607265871","x338985020"
"x2322623453","x338985020"
"x41093168","x5698002"
"x414025897","x338985020"
"x2322623453","x338985020"
"x80815396","x719175862382436354"
"x17452882","x338985020"
"x513026550","x338985020"
"x1202146222171213824","x338985020"
"x2318972862","x338985020"
"x778537888367702016","x338985020"
"x2176740514","x338985020"
"x857693065355702273","x338985020"
"x234375665","x338985020"
"x739927153702252544","x338985020"
"x560715847","x18399014"
"x50848576","x338985020"
"x234375665","x338985020"
"x451030591","x338985020"
"x1221533375346958338","x338985020"
"x1240648308407840768","x1293120158484107269"
"x4185260297","x17169453"
"x417885016","x338985020"
"x1186585744330182657","x1293120158484107269"
"x1223864340203307008","x338985020"
"x532060951","x338985020"
"x17229611","x338985020"
"x1373991758","x18399014"
"x2196107973","x338985020"
"x1167040094","x338985020"
"x49301725","x85362553"
"x265328754","x338985020"
"x2227355929","x472412809"
"x1173863963324571648","x338985020"
"x3687481529","x1293120158484107269"
"x19148041","x338985020"
"x1339268892305264642","x338985020"
"x2851137754","x1214315619031478272"
"x867387494299561986","x338985020"
"x1237784216437501952","x1214315619031478272"
"x903634396971970561","x338985020"
"x4376305821","x1214315619031478272"
"x2340931320","x338985020"
"x870737892779360256","x338985020"
"x2340931320","x338985020"
"x1186208324443889664","x338985020"
"x88049635","x338985020"
"x1174240030044413953","x1214315619031478272"
"x944198191918075904","x338985020"
"x1310317903070334978","x1214315619031478272"
"x894503620577767425","x85362553"
"x1230212289330077696","x338985020"
"x3182489668","x338985020"
"x2371973557","x1118605648260939777"
"x767029124","x1214315619031478272"
"x139228624","x1214315619031478272"
"x429343472","x1214315619031478272"
"x739927153702252544","x338985020"
"x2222927797","x27412519"
"x200213382","x338985020"
"x2951018860","x338985020"
"x1191055085209559040","x338985020"
"x80557178","x1214315619031478272"
"x323855241","x85362553"
"x1190296604294754304","x1214315619031478272"
"x1498342616","x17169453"
"x1032849138","x1214315619031478272"
"x923925149736456192","x338985020"
"x1210903164855050240","x1214315619031478272"
"x2771050762","x338985020"
"x1083871582374764544","x338985020"
"x926131217375875072","x719175862382436354"
"x129227323","x17169453"
"x49382574","x27412519"
"x1239612888161058816","x338985020"
"x1094302154511339523","x1214315619031478272"
"x1083117836334190593","x338985020"
"x846815639822090240","x1214315619031478272"
"x71245999","x34570323"
"x2917376770","x338985020"
"x15720610","x338985020"
"x777433357642788864","x34570323"
"x2917376770","x338985020"
"x1586031361","x338985020"
"x2736874202","x1214315619031478272"
"x555300363","x1214315619031478272"
"x1328014988645183488","x1214315619031478272"
"x1034896426634039302","x1214315619031478272"
"x2222927797","x338985020"
"x235910137","x338985020"
"x1150084587059630080","x338985020"
"x3386104413","x85362553"
"x1256476904787410945","x1214315619031478272"
"x126642321","x27412519"
"x1061577873373446146","x338985020"
"x593799452","x1118605648260939777"
"x891788042","x1214315619031478272"
"x886830446","x1214315619031478272"
"x1206563245823340545","x1214315619031478272"
"x1240561289480544256","x105488203"
"x923925149736456192","x338985020"
"x435879159","x34570323"
"x8350912","x385390576"
"x205772761","x1214315619031478272"
"x2970436671","x840646733055029250"
"x8350912","x160182579"
"x8350912","x37632296"
"x1083117836334190593","x1293120158484107269"
"x144519763","x1214315619031478272"
"x1232282979214512128","x1214315619031478272"
"x1236320891094683650","x1214315619031478272"
"x297386168","x978970980994469888"
"x1154466700420702213","x338985020"
"x1331660897463521287","x338985020"
"x884109737087950848","x1293120158484107269"
"x933033649938853894","x338985020"
"x579091759","x338985020"
"x366553643","x35287180"
"x1184244617266585600","x17169453"
"x54980022","x5698002"
"x980478761673076736","x338955445"
"x303676233","x1214315619031478272"
"x262391061","x338985020"
"x1241767512271921154","x1118605648260939777"
"x1299804224113573891","x1214315619031478272"
"x569503278","x840646733055029250"
"x1242763464839438337","x27412519"
"x4247993609","x338985020"
"x236461468","x85362553"
"x1323406892","x338985020"
"x14711937","x5698002"
"x892945749859852288","x1118605648260939777"
"x1045331825332297729","x338985020"
"x754956984638705664","x37632296"
"x3483937277","x1214315619031478272"
"x4242944297","x338955445"
"x302906057","x336196798"
"x1560015996","x338985020"
"x20773951","x338985020"
"x852785935146037248","x338985020"
"x846279043","x85362553"
"x705022560480665600","x37632296"
"x15483126","x385390576"
"x1560015996","x338985020"
"x392267100","x338985020"
"x1183658643268558849","x1214315619031478272"
"x3313830105","x1214315619031478272"
"x942053748406456320","x338955445"
"x392267100","x840646733055029250"
"x2165126724","x1214315619031478272"
"x102625676","x338985020"
"x1318564203926593537","x1214315619031478272"
"x1143557731","x92564226"
"x802303422","x338955445"
"x1308228264591269888","x472412809"
"x1114218158037110784","x1311715074965483520"
"x887670056859176962","x92564226"
"x1063530872","x92564226"
"x802303422","x37632296"
"x2890732857","x1214315619031478272"
"x802303422","x160182579"
"x761502685","x978970980994469888"
"x1694485584","x338985020"
"x352646933","x338985020"
"x3235683166","x338985020"
"x838089366","x27412519"
"x2893273826","x1214315619031478272"
"x352646933","x338985020"
"x2174811388","x338985020"
"x1096050823","x364513528"
"x1926046680","x92564226"
"x764649116","x338985020"
"x817427904","x338985020"
"x3482917215","x364513528"
"x1180344534355648512","x27412519"
"x14639551","x92564226"
"x83139061","x92564226"
"x1113934795711623169","x364513528"
"x576188873","x92564226"
"x319015659","x1214315619031478272"
"x1240561289480544256","x105488203"
"x863052887349481472","x338955445"
"x1449972068","x1214315619031478272"
"x1470463776","x472412809"
"x939093308277690368","x1214315619031478272"
"x4832806138","x364513528"
"x925358710377074689","x338985020"
"x4328100916","x1214315619031478272"
"x3746430862","x338955445"
"x917454099209244672","x338985020"
"x960804591590887424","x338985020"
"x2164494644","x92564226"
"x1170006035672850432","x1118605648260939777"
"x1192155524382568448","x1214315619031478272"
"x2869489972","x338985020"
"x962442438467096578","x1118605648260939777"
"x456050432","x160182579"
"x456050432","x37632296"
"x2792615047","x472412809"
"x319836935","x338955445"
"x1042808065","x37632296"
"x2991781979","x2837226736"
"x126497124","x338985020"
"x2167400797","x338985020"
"x1184244617266585600","x472412809"
"x2991781979","x364513528"
"x1246041229","x338985020"
"x541557919","x338985020"
"x4386390321","x92564226"
"x4861436473","x4861436473"
"x365658623","x160182579"
"x1317742364778168322","x338955445"
"x579646570","x338985020"
"x2963758719","x1214315619031478272"
"x788163054","x338985020"
"x129227323","x472412809"
"x21647127","x338985020"
"x1172749829753200641","x361236496"
"x2813249451","x338955445"
"x1345391863663124480","x1214315619031478272"
"x347089179","x398805513"
"x408652981","x398805513"
"x1351197422471573505","x1118605648260939777"
"x756581674541019136","x1214315619031478272"
"x758941482","x338985020"
"x3303463029","x1214315619031478272"
"x749748028400082944","x1214315619031478272"
"x1438594279","x338985020"
"x53802986","x1118605648260939777"
"x835882347220332545","x338985020"
"x1342459788945461248","x1214315619031478272"
"x96591601","x338985020"
"x410236872","x1118605648260939777"
"x3687445103","x338985020"
"x33960395","x338955445"
"x824990191748255744","x1293120158484107269"
"x268141887","x1251590322708234242"
"x364838356","x2837226736"
"x408199414","x338985020"
"x3906026714","x338985020"
"x204384708","x1214315619031478272"
"x379870326","x338985020"
"x31052338","x338985020"
"x942053748406456320","x160182579"
"x560449624","x840646733055029250"
"x1096050823","x338985020"
"x1115524351963672576","x978970980994469888"
"x887670056859176962","x338985020"
"x1141469098020364294","x338985020"
"x2473266547","x338985020"
"x1852460636","x338985020"
"x3027989721","x1214315619031478272"
"x407148546","x338985020"
"x1270706371","x1118605648260939777"
"x39219117","x338985020"
"x1038717195675688960","x1311715074965483520"
"x1102959837846097922","x398805513"
"x155379896","x338985020"
"x2398082748","x1315019859147853824"
"x1244336273373921286","x472412809"
"x257551211","x978970980994469888"
"x142676406","x338985020"
"x403587573","x1315019859147853824"
"x258455274","x1118605648260939777"
"x708969914179125248","x85362553"
"x824615971516248065","x1214315619031478272"
"x1063843098852237314","x1315019859147853824"
"x1240561289480544256","x1293120158484107269"
"x78261122","x338985020"
"x325693647","x92564226"
"x1274612755417509888","x338985020"
"x2288485103","x338985020"
"x86779557","x338985020"
"x2245371553","x338985020"
"x585704267","x338985020"
"x82653691","x338985020"
"x1156638554434494464","x1214315619031478272"
"x284802757","x935300112"
"x1000136180544000000","x338985020"
"x247689651","x338985020"
"x244170872","x1118605648260939777"
"x111845799","x338985020"
"x1213460087349530624","x20043573"
"x612534243","x148034143"
"x109802310","x338985020"
"x484713383","x338985020"
"x2775877380","x1118605648260939777"
"x1638946448","x532486823"
"x85512499","x338985020"
"x461267801","x1118605648260939777"
"x2900334119","x610372620"
"x499584544","x978970980994469888"
"x628230313","x1315019859147853824"
"x857257955594469376","x338985020"
"x89206968","x20043573"
"x252545618","x1214315619031478272"
"x767758540903739392","x338985020"
"x1063843098852237314","x1214315619031478272"
"x1093505956053426181","x532486823"
"x265966955","x532486823"
"x265966955","x338985020"
"x920353759863205888","x556068872"
"x884087425","x1214315619031478272"
"x1057356487","x338985020"
"x1090007143925862400","x37632296"
"x325432567","x20043573"
"x887670056859176962","x92564226"
"x485133682","x338985020"
"x713972287","x92564226"
"x1165721017","x92564226"
"x1218000426890604544","x338985020"
"x2966719715","x338985020"
"x2378972107","x92564226"
"x857257955594469376","x338985020"
"x18982331","x18982331"
"x891662679185772544","x338985020"
"x111078079","x92564226"
"x1080932708988129281","x92564226"
"x1321604175701094400","x92564226"
"x3105317333","x92564226"
"x4610850641","x338955445"
"x767758540903739392","x1214315619031478272"
"x3264486358","x2474044632"
"x1099370599405834241","x439711432"
"x1963000946","x338985020"
"x47917733","x92564226"
"x277019074","x92564226"
"x1220792682","x92564226"
"x83852390","x92564226"
"x272716612","x338985020"
"x144214150","x310157882"
"x1144692313","x1214315619031478272"
"x3302594272","x20043573"
"x4885839100","x64385029"
